document_number,cost_center,posting_date,gl_account,amount
DOC0100009,CC1011,2026-02-11,610000,6985.44
DOC0100005,CC1019,2026-04-02,610000,2364.01
DOC0100023,CC1007,2026-03-03,400000,23231.01
DOC0900001,CC1027,2026-02-28,420000,167.14
DOC0100033,CC1023,2026-01-16,620000,1401.57
DOC0100003,CC1024,2026-07-27,400000,5549.99
DOC0100047,CC1011,2026-01-18,420000,3354.79
DOC0100035,CC1025,2026-01-20,630000,6999.7
DOC0100014,CC1017,2026-07-10,710000,6658.76
DOC0100048,CC1000,2026-06-06,710000,10982.71
DOC0100057,CC1029,2026-06-08,410000,2614.7
DOC0100019,CC1013,2026-01-29,430000,19226.54
DOC0100026,CC1022,2026-05-19,420000,10607.29
DOC0100029,CC1007,2026-07-01,400000,5544.42
DOC0100015,CC1004,2026-04-03,420000,14635.42
DOC0100050,CC1006,2026-03-14,720000,13852.93
DOC0100010,CC1017,2026-06-05,410000,6711.1
DOC0100040,CC1001,2026-07-11,610000,18406.64
DOC0100031,CC1025,2026-03-04,630000,13503.89
DOC0100058,CC1005,2026-04-16,400000,24406.34
DOC0100030,CC1008,2026-05-12,420000,21497.9
DOC0100054,CC1017,2026-06-26,410000,292.01
DOC0100052,CC1010,2026-01-12,400000,15875.4
DOC0100000,CC1007,2026-07-09,430000,16003.7
DOC0100013,CC1012,2026-02-24,630000,5314.02
DOC0100036,CC1005,2026-01-24,420000,1312.18
DOC0100046,CC1006,2026-01-19,710000,11484.22
DOC0100008,CC1027,2026-01-21,420000,16548.52
DOC0100039,CC1006,2026-02-18,430000,17974.29
DOC0100018,CC1021,2026-06-24,400100,6322.78
DOC0100028,CC1017,2026-01-06,720000,5656.2
DOC0100024,CC1024,2026-07-28,400100,2187.05
DOC0100045,CC1029,2026-04-28,610000,3315.41
DOC0100051,CC1008,2026-05-10,630000,17203.05
DOC0100042,CC1028,2026-04-14,400100,14896.13
DOC0100020,CC1016,2026-05-09,410000,130.97
DOC0100053,CC1017,2026-07-09,630000,24495.96
DOC0100027,CC1014,2026-04-23,710000,24878.98
DOC0100038,CC1022,2026-03-15,620000,6666.82
DOC0100006,CC1017,2026-04-07,400100,18256.81
DOC0100002,CC1022,2026-05-24,420000,5510.02
DOC0100044,CC1007,2026-02-22,610000,13093.43
DOC0100037,CC1012,2026-01-16,410000,12059.89
DOC0100011,CC1007,2026-06-13,710000,11583.39
DOC0100016,CC1020,2026-01-29,410000,2318.19
DOC0100007,CC1022,2026-05-28,420000,15482.07
DOC0100001,CC1001,2026-06-01,620000,18424.96
DOC0100059,CC1025,2026-03-10,410000,20065.77
DOC0100034,CC1004,2026-05-18,630000,6253.98
DOC0100043,CC1013,2026-06-08,400100,14494.03
DOC0900000,CC1014,2026-03-31,430000,4111.66
DOC0100032,CC1013,2026-04-01,620000,2403.43
DOC0100041,CC1002,2026-01-15,710000,11945.87
DOC0100022,CC1015,2026-06-03,610000,23839.82
DOC0100059,CC1025,2026-03-10,410000,20065.77
DOC0100049,CC1003,2026-02-04,430000,23297.31
DOC0100004,CC1024,2026-02-09,420000,10594.23
DOC0100056,CC1021,2026-04-02,420000,22479.59
DOC0100017,CC1019,2026-04-09,620000,10582.89
DOC0100021,CC1024,2026-02-09,610000,7496.2
DOC0100025,CC1008,2026-05-21,410000,3253.37
DOC0100012,CC1026,2026-07-26,610000,5764.75
