document_number,company_code,posting_date,gl_account,cost_center,vendor,amount,currency,document_type
DOC0100000,1000,2026-07-09,430000,CC1007,V10014,16003.7,USD,KR
DOC0100001,1000,2026-06-01,620000,CC1001,V10001,18424.96,USD,KR
DOC0100002,1000,2026-05-24,420000,CC1022,V10034,5505.02,USD,SA
DOC0100003,2000,2026-07-27,400000,CC1024,V10010,5549.99,USD,KZ
DOC0100004,2000,2026-02-09,420000,CC1024,V10021,10594.23,USD,KR
DOC0100005,1000,2026-04-02,610000,CC1019,V10016,2364.01,USD,KR
DOC0100006,1000,2026-04-07,400100,CC1017,V10018,18256.81,USD,KZ
DOC0100007,2000,2026-05-28,420000,CC1022,V10004,15482.07,USD,KR
DOC0100008,2000,2026-01-21,420000,CC1027,V10006,16548.52,USD,SA
DOC0100009,2000,2026-02-11,610000,CC1011,V10013,6985.44,USD,KZ
DOC0100010,1000,2026-06-05,410000,CC1017,V10015,6711.1,USD,KR
DOC0100011,2000,2026-06-13,710000,CC1007,V10020,11583.39,USD,KR
DOC0100012,1000,2026-07-26,610000,CC1012,V10017,5764.75,USD,KR
DOC0100013,2000,2026-02-24,630000,CC1012,V10029,5314.02,USD,KR
DOC0100014,1000,2026-07-10,710000,CC1017,V10016,6658.76,USD,KZ
DOC0100015,2000,2026-04-03,420000,CC1004,V10032,14635.42,USD,SA
DOC0100016,1000,2026-01-29,410000,CC1020,V10010,2318.19,USD,KZ
DOC0100017,1000,2026-04-09,620000,CC1019,V10029,10582.89,USD,KZ
DOC0100018,1000,2026-06-24,400100,CC1021,V10034,6322.78,USD,SA
DOC0100019,2000,2026-01-29,430000,CC1013,V10010,19226.54,USD,SA
DOC0100020,2000,2026-05-09,410000,CC1016,V10006,130.97,USD,KZ
DOC0100021,1000,2026-02-09,610000,CC1024,V10010,7496.2,USD,KZ
DOC0100022,1000,2026-06-03,610000,CC1015,V10001,23839.82,USD,KR
DOC0100023,2000,2026-03-03,400000,CC1007,V10036,23231.01,USD,KR
DOC0100024,2000,2026-07-28,400100,CC1024,V10034,2187.05,USD,KR
DOC0100025,2000,2026-05-21,410000,CC1008,V10033,3253.37,USD,KZ
DOC0100026,1000,2026-05-19,420000,CC1022,V10019,10607.29,USD,SA
DOC0100027,2000,2026-04-23,710000,CC1014,V10007,24878.98,USD,KR
DOC0100028,2000,2026-01-06,720000,CC1017,V10014,5656.2,USD,KZ
DOC0100029,1000,2026-07-01,400000,CC1007,V10004,5544.42,USD,KR
DOC0100030,1000,2026-05-12,420000,CC1008,V10031,21497.9,USD,KR
DOC0100031,2000,2026-03-04,630000,CC1025,V10026,13503.89,USD,KR
DOC0100032,2000,2026-04-01,620000,CC1013,V10029,2403.43,USD,KZ
DOC0100033,1000,2026-01-16,620000,CC1023,V10021,1401.57,USD,KR
DOC0100034,1000,2026-05-18,630000,CC1004,V10027,6253.98,USD,KR
DOC0100035,1000,2026-01-20,630000,CC1025,V10035,6999.7,USD,KR
DOC0100036,1000,2026-01-24,420000,CC1005,V10026,1312.18,USD,SA
DOC0100037,2000,2026-01-16,410000,CC1012,V10000,12059.89,USD,SA
DOC0100038,2000,2026-03-15,620000,CC1022,V10035,6666.82,USD,KZ
DOC0100039,1000,2026-02-18,430000,CC1006,V10003,17974.29,USD,KZ
DOC0100040,1000,2026-07-11,610000,CC1001,V10003,18406.64,USD,KZ
DOC0100041,1000,2026-01-15,710000,CC1002,V10011,11945.87,USD,KR
DOC0100042,1000,2026-04-14,400100,CC1028,V10036,14896.13,USD,KR
DOC0100043,1000,2026-06-08,400100,CC1013,V10037,14494.03,USD,KZ
DOC0100044,2000,2026-02-22,610000,CC1007,V10016,13093.43,USD,SA
DOC0100045,2000,2026-04-28,610000,CC1029,V10004,3315.41,USD,KR
DOC0100046,1000,2026-01-19,710000,CC1006,V10032,11484.22,USD,SA
DOC0100047,2000,2026-01-18,420000,CC1011,V10018,3354.79,USD,KR
DOC0100048,2000,2026-06-06,710000,CC1000,V10035,10982.71,USD,SA
DOC0100049,1000,2026-02-04,430000,CC1003,V10006,23297.31,USD,KZ
DOC0100050,2000,2026-03-14,720000,CC1006,V10021,13852.93,USD,KR
DOC0100051,2000,2026-05-10,630000,CC1008,V10003,17203.05,USD,KR
DOC0100052,1000,2026-01-12,400000,CC1010,V10008,15875.4,USD,KZ
DOC0100053,1000,2026-07-09,630000,CC1017,V10027,24495.96,USD,KZ
DOC0100054,1000,2026-06-26,410000,CC1017,V10002,291.26,USD,SA
DOC0100055,1000,2026-04-21,410000,CC1001,V10019,14583.61,USD,SA
DOC0100056,1000,2026-04-02,420000,CC1021,V10015,22479.59,USD,KZ
DOC0100057,2000,2026-06-08,410000,CC1029,V10015,2614.7,USD,KR
DOC0100058,1000,2026-04-16,400000,CC1005,V10021,24406.34,USD,SA
DOC0100059,1000,2026-03-10,410000,CC1025,V10006,20065.77,USD,SA
